Tournament,Stage,Match Type,Map,Agent,Pick Rate
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Pearl,gekko,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Pearl,neon,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Pearl,fade,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Pearl,phoenix,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Pearl,deadlock,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Pearl,reyna,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Pearl,sage,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Split,raze,100.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Split,viper,75.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Split,skye,100.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Split,astra,100.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Split,killjoy,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Split,jett,50.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Split,breach,25.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Split,omen,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Split,kayo,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Split,fade,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Split,cypher,25.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Split,brimstone,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Split,harbor,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Split,chamber,25.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Split,sova,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Split,iso,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Split,gekko,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Split,neon,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Split,deadlock,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Split,phoenix,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Split,reyna,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Split,sage,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Split,yoru,0.0
